Country	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025
India	"1,208.23"	"1,251.38"	"1,265.07"	"1,326.15"	"1,345.57"	"1,384.62"	"1,418.89"	"1,443.29"	"1,548.64"	"1,606.47"	"1,660.54"	"1,644.20"	"1,699.95"	"1,745.96"	"1,826.38"	"1,927.38"	"2,033.97"	"2,077.15"	"2,165.41"	"2,306.64"	"2,356.29"	"2,430.42"	"2,483.07"	"2,636.43"	"2,797.80"	"3,009.64"	"3,238.02"	"3,502.14"	"3,585.49"	"3,835.06"	"4,171.82"	"4,391.80"	"4,574.74"	"4,809.65"	"5,107.21"	"5,454.35"	"5,840.67"	"6,185.99"	"6,496.81"	"6,694.26"	"5,944.69"	"6,403.22"	"6,846.00"	"7,296.07"	"7,760.57"	"8,243.49"
																																														
Indonesia	"2,852.22"	"3,009.62"	"3,017.58"	"3,083.16"	"3,252.40"	"3,313.92"	"3,483.29"	"3,640.26"	"3,818.83"	"4,085.01"	"4,366.44"	"4,678.69"	"4,902.57"	"5,206.26"	"5,507.48"	"5,862.97"	"6,249.16"	"6,468.16"	"5,554.94"	"5,534.96"	"5,744.18"	"5,869.76"	"6,047.62"	"6,247.62"	"6,469.67"	"6,741.81"	"7,012.67"	"7,352.77"	"7,788.87"	"8,040.42"	"8,432.94"	"8,792.32"	"9,192.04"	"9,570.56"	"9,916.34"	"10,260.61"	"10,655.77"	"11,073.52"	"11,522.28"	"11,976.55"	"11,679.35"	"12,272.65"	"12,799.66"	"13,340.93"	"13,889.98"	"14,466.03"
																																														
Malaysia	"7,506.77"	"7,834.30"	"8,093.10"	"8,390.06"	"8,821.06"	"8,470.57"	"8,339.50"	"8,565.57"	"9,188.88"	"9,784.54"	"10,222.57"	"11,029.63"	"11,682.02"	"12,488.30"	"13,272.84"	"14,196.84"	"15,218.86"	"15,923.80"	"14,379.32"	"14,877.23"	"15,764.36"	"15,433.11"	"15,868.02"	"16,393.50"	"17,110.04"	"17,573.53"	"18,309.68"	"19,270.19"	"19,835.39"	"19,199.82"	"20,279.34"	"21,005.00"	"21,818.40"	"22,310.47"	"23,269.51"	"24,060.44"	"24,775.66"	"25,897.24"	"26,831.16"	"27,814.64"	"25,815.75"	"27,478.36"	"28,762.79"	"30,027.83"	"31,240.17"	"32,422.66"
																																														
Mexico	"15,336.93"	"16,249.71"	"15,789.49"	"14,893.04"	"15,060.62"	"15,059.78"	"14,292.21"	"14,244.50"	"14,143.59"	"14,441.78"	"14,904.41"	"15,247.51"	"15,504.14"	"15,649.93"	"16,144.32"	"14,879.94"	"15,634.72"	"16,446.72"	"17,035.77"	"17,248.35"	"17,841.86"	"17,521.97"	"17,276.15"	"17,288.63"	"17,719.96"	"17,874.04"	"18,407.47"	"18,551.53"	"18,485.18"	"17,251.45"	"17,875.47"	"18,273.58"	"18,684.21"	"18,689.72"	"18,978.29"	"19,361.47"	"19,633.12"	"19,815.99"	"20,025.50"	"19,747.91"	"17,790.33"	"18,230.30"	"18,457.58"	"18,674.33"	"18,890.03"	"19,117.05"
																																														
Pakistan	"2,053.04"	"2,117.86"	"2,212.57"	"2,296.79"	"2,323.17"	"2,458.17"	"2,545.66"	"2,623.89"	"2,721.52"	"2,780.90"	"2,826.68"	"2,907.23"	"3,000.36"	"2,985.61"	"3,038.20"	"3,113.70"	"3,238.92"	"3,216.05"	"3,250.66"	"3,309.30"	"3,362.37"	"3,337.65"	"3,373.96"	"3,447.21"	"3,633.36"	"3,884.10"	"4,034.95"	"4,182.97"	"4,218.53"	"4,145.13"	"4,164.20"	"4,226.98"	"4,300.84"	"4,370.81"	"4,458.57"	"4,549.57"	"4,666.49"	"4,817.92"	"4,990.93"	"4,992.67"	"4,881.90"	"4,840.92"	"4,944.05"	"5,072.59"	"5,227.91"	"5,389.45"
																																														
